carrier,case,timeslot,internet,tv,total,note,source
KT,인터넷만,평일,36000,,36000,,shop.kt.com
KT,TV만,평일,,34100,34100,설치·변경·이전 공통,product.kt.com
KT,인터넷+TV 동시,평일,32000,24200,56200,,shop.kt.com
KT,인터넷만,야간·주말,45000,,45000,,shop.kt.com
KT,TV만,야간·주말,,42625,42625,,product.kt.com
KT,인터넷+TV 동시,야간·주말,41000,30250,71250,,shop.kt.com
KT,인터넷 이전,평일,36000,,36000,설치장소 변경,shop.kt.com
KT,TV 추가 1대,평일,,15400,15400,야간·주말 19250,product.kt.com
SK,인터넷만(신규·이전),평일,36300,,36300,'18.6.29 이후 가입자,SKB 초고속인터넷 약관 275차
SK,TV만(신규·이전),평일,,34100,34100,2024.6.3 이후 가입자,SKB IPTV 약관 260902
SK,인터넷+TV 동시,평일,34100,22000,56100,같은 날·같은 장소 · total은 합산,SKB 약관·bworld.co.kr
SK,인터넷만,할증,45375,,45375,인터넷 약관 18시 이후 / IPTV 약관 19시 이후,SKB 초고속인터넷 약관 275차
SK,인터넷+TV 동시,할증,42625,27500,70125,total은 합산,SKB 약관
SK,TV 두 번째부터,평일,,17600,17600,할증 22000,SKB IPTV 약관
LG,인터넷만(신규·이전),평일,36300,,36300,2023-08-31 이전 가입자는 다를 수 있음,lguplus.com 공지 2000015956
LG,TV만(신규·변경),평일,,34100,34100,2024-06-25 이후 가입자,lguplus.com
LG,인터넷+TV 동시,평일,34100,22000,56100,U+tv 설치비 별도 · total은 합산,lguplus.com
LG,인터넷만,할증,45375,,45375,평일 19시~09시·주말·공휴일,lguplus.com
LG,인터넷+TV 동시,할증,42625,27500,70125,total은 합산,lguplus.com
