carrier,product,channels,no_contract,y1,y2,y3,bundle_y3,ott,source
KT,지니 TV 베이직,230여개,18150,17270,16390,14740,12100,,product.kt.com
KT,지니 TV 라이트,240여개,19800,18810,17820,15840,13200,,product.kt.com
KT,지니 TV 에센스,260여개,25300,24035,22770,20240,16500,,product.kt.com
KT,지니 TV 모든G,250여개(UHD 6),28930,27500,26180,23540,19800,,product.kt.com
KT,지니 TV 선택형,110~120여개,11000,10450,9900,8800,6600,,product.kt.com
KT,지니 TV 교육형,80여개,11000,10450,9900,8800,6600,,product.kt.com
KT,지니 TV 슈퍼팩 초이스,260여개,36300,34540,32890,29480,25300,,product.kt.com
KT,넷플릭스 초이스HD,,38800,37040,35390,31980,27800,넷플릭스 HD 2대,product.kt.com
KT,넷플릭스 초이스UHD,,42300,40540,38890,35480,31300,넷플릭스 UHD 4대,product.kt.com
KT,티빙 초이스 스탠다드,,38800,37040,35390,31980,27800,티빙 스탠다드 2대,product.kt.com
KT,티빙 초이스 프리미엄,,42300,40540,38890,35480,31300,티빙 프리미엄 4대,product.kt.com
KT,유튜브 프리미엄 초이스,,40200,38390,36690,33180,29000,유튜브 프리미엄,product.kt.com
KT,디즈니+ 초이스 스탠다드,,35200,33770,32340,29480,25300,디즈니+ 2대,product.kt.com
KT,디즈니+ 초이스 프리미엄,,39200,37550,35900,32480,28300,디즈니+ 4대,product.kt.com
KT,지니 TV 디즈니+ 모든G,,36630,34430,32340,28100,21500,디즈니+ 스탠다드,product.kt.com
SK,B tv 이코노미,183,18700,17600,15400,12100,9900,,bworld.co.kr
SK,B tv 스탠다드,234,22000,20900,18700,15400,13200,,bworld.co.kr
SK,B tv All,254,25300,24200,22000,18700,16500,,bworld.co.kr
SK,B tv All+캐치온,256,36300,34650,31900,27500,25300,캐치온,bworld.co.kr
SK,B tv+ max,,45540,40700,33550,25300,23100,지상파 VOD,bworld.co.kr
SK,B tv All 넷플릭스,254(All과 동일),38800,37050,34100,30200,28000,넷플릭스 스탠다드 2대,bworld.co.kr
SK,B tv All 넷플릭스 프리미엄,254(All과 동일),42300,40550,37100,33200,31000,넷플릭스 프리미엄 4대,bworld.co.kr
SK,B tv 스탠다드 넷플릭스,234(스탠다드와 동일),35500,34050,31100,27700,25500,넷플릭스 스탠다드 2대,bworld.co.kr
SK,B tv 스탠다드 넷플릭스 프리미엄,234(스탠다드와 동일),39000,37550,34600,30700,28500,넷플릭스 프리미엄 4대,bworld.co.kr
LG,U+tv 실속형,216,22000,20900,18700,15400,13200,,lguplus.com
LG,U+tv 기본형,222,23100,22000,19800,16500,14300,,lguplus.com
LG,U+tv 프리미엄,251,22000,20900,19800,18700,16500,,lguplus.com
LG,U+tv 프리미엄 플러스,257,25300,24200,23100,22000,17600,UHD팩,lguplus.com
LG,U+tv 프리미엄 VOD,257,27500,26400,25300,24200,18700,VOD 쿠폰 5500,lguplus.com
LG,U+tv 프리미엄 넷플릭스 HD,257,35500,34400,33300,32200,27800,넷플릭스 2대,lguplus.com
LG,U+tv 프리미엄 넷플릭스 UHD,257,39000,37900,36800,35700,31300,넷플릭스 4대,lguplus.com
LG,U+tv 프리미엄 디즈니+ 스탠다드,257,31900,30800,29700,28600,24600,디즈니+ FHD,lguplus.com
LG,U+tv 프리미엄 디즈니+,257,35900,34800,33700,32600,28600,디즈니+ UHD,lguplus.com
LG,U+tv 프리미엄 티빙,257,35500,34400,33300,32200,29600,티빙 2대,lguplus.com
LG,U+tv 프리미엄 티빙 플러스,257,39000,37900,36800,35700,33100,티빙 4대,lguplus.com
LG,U+tv 프리미엄 유플레이,257,37400,34650,31900,26400,24200,유플레이,lguplus.com
LG,U+tv 프리미엄 내맘대로,257,36300,34100,31900,29700,27500,매월 선택 1개,lguplus.com
