carrier,device,fee_3y,fee_2y,fee_1y,fee_none,source
SK,AI 5,7700,8800,11000,13200,bworld.co.kr
SK,AI 5 (셋톱 케어),5500,,,13200,bworld.co.kr
SK,AI 4 vision / AI Sound Max,8800,11000,16500,22000,bworld.co.kr
SK,Smart 3 / Smart 3 mini / UHD,4400,5500,7700,9900,bworld.co.kr
SK,AI 스피커형,6600,7700,9900,12100,bworld.co.kr
SK,UHD (B tv cable),4400,5500,6600,8800,bworld.co.kr
SK,Smart (B tv cable),3300,4400,5500,7700,bworld.co.kr
SK,HD (B tv cable),2200,3300,4400,6600,bworld.co.kr
KT,셋톱박스4,6600,7700,9900,,shop.kt.com
KT,셋톱박스A,3300,4400,6600,,shop.kt.com
LG,전 기종,,,,,미확보
