carrier,plan,channels,ott,mobile_bundle_3y,solo_3y,solo_2y,solo_1y,solo_none,net_3y,net_2y,net_1y,net_none,source
SK,B tv+ max,255,자체 VOD(지상파3사 포함),22000,25300,33550,40700,45540,23100,32450,40150,45540,bworld.co.kr P03010700
SK,B tv All+,,VOD월정액 묶음,20900,24200,29700,35200,39490,22000,28600,34650,39490,bworld.co.kr P03010700
SK,B tv 스탠다드+,,VOD월정액 묶음,19800,23100,28600,33000,36190,20900,27500,32450,36190,bworld.co.kr P03010700
SK,B tv All 넷플릭스 프리미엄,254,넷플릭스 프리미엄,29900,33200,37100,40550,42300,31000,36000,40000,42300,bworld.co.kr P03010200
SK,B tv All 넷플릭스,254,넷플릭스 스탠다드,26900,30200,34100,37050,38800,28000,33000,36500,38800,bworld.co.kr P03010200
SK,B tv 스탠다드 넷플릭스 프리미엄,234,넷플릭스 프리미엄,27400,30700,34600,37550,39000,28500,33500,37000,39000,bworld.co.kr P03010200
SK,B tv 스탠다드 넷플릭스,234,넷플릭스 스탠다드,24400,27700,31100,34050,35500,25500,30000,33500,35500,bworld.co.kr P03010200
SK,B tv All,254,-,15400,18700,22000,24200,25300,16500,20900,23650,25300,bworld.co.kr P03010300
SK,B tv 스탠다드,234,-,12100,15400,18700,20900,22000,13200,17600,20350,22000,bworld.co.kr P03010300
SK,B tv 이코노미,183,-,8800,12100,15400,17600,18700,9900,14300,17050,18700,bworld.co.kr P03010300
SK,B tv All+캐치온,255,캐치온 월정액,24200,27500,31900,34650,36300,25300,30800,34100,36300,bworld.co.kr P03010400
KT,지니TV 요금제 전체,,,,,,,,,,,,미확보 — shop.kt.com SPA 차단
LG,U+tv 요금제 전체,,,,,,,,,,,,미확보 — LG 공식 SPA 차단
